id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28271234,"HUGE  3/5 BR Gorgeous Row Home, Parking, CAC, Wifi",1421484,Cristina,,"Brightwood Park, Crestwood, Petworth",38.9514,-77.0203,Entire home/apt,135,2,82,3/27/2021,2.61,5,304
28273187,1 Bedroom Apartment in NOMA,92543922,Patrick,,"Union Station, Stanton Park, Kingman Park",38.90261,-76.99612,Entire home/apt,150,2,44,8/29/2020,1.41,1,179
28275289,Charming Georgetown Apartment -  Private Entrance,149422920,Amy,,"Georgetown, Burleith/Hillandale",38.91143,-77.05732,Entire home/apt,100,4,43,7/28/2020,1.39,1,30
28282457,CLEAN Garden Level Apt. close to the US Capitol,69203193,Leyla & Matt,,"Union Station, Stanton Park, Kingman Park",38.89844,-76.98763,Entire home/apt,60,28,28,4/17/2021,0.88,27,365
28290489,"Luxury Bed & bath, with private entrance + balcony",213263959,Anju,,"Brightwood Park, Crestwood, Petworth",38.94684,-77.02561,Private room,64,2,36,3/10/2020,1.15,1,0
28303977,"Historic private suite, 10 min walk to Georgetown",9286163,Olena,,"Cathedral Heights, McLean Gardens, Glover Park",38.92169,-77.07639,Private room,110,1,74,3/29/2020,2.4,5,365
28304179,"Cleveland Park Oasis, at Red Line Metro",17325395,Helen,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93815,-77.0642,Entire home/apt,100,2,65,4/10/2021,2.25,1,196
28316665,The Red Sunset( Female Only),200421571,Rebecca,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92486,-77.02438,Private room,50,2,12,10/28/2019,0.38,2,0
28336119,"Clean and fresh apartment, close to all things",105711806,Jodi & Abraham,,"Union Station, Stanton Park, Kingman Park",38.89614,-76.97652,Entire home/apt,80,2,93,4/4/2021,2.96,5,360
28387345,Capitol Hill Barracks Row Townhouse,819525,Jessica,,"Capitol Hill, Lincoln Park",38.88013,-76.99497,Entire home/apt,109,1,192,4/18/2021,6.12,2,120
28388103,D.c. Single family home,214318656,Darryl,,"Capitol View, Marshall Heights, Benning Heights",38.87858,-76.93576,Private room,26,1,0,,,1,0
28388898,"Private room w/ bathroom, cable TV, wifi, & ref.",214326065,Edwin,,"Mayfair, Hillbrook, Mahaning Heights",38.90082,-76.95123,Private room,39,3,64,3/11/2020,2.11,1,262
28403842,Comfy-New Renovated Lower Level near Capitol Hill,60541151,Saah,,Historic Anacostia,38.8648,-76.98081,Entire home/apt,59,2,48,4/10/2021,1.63,1,166
28429419,Urban Chic Bedroom Suite workspace & private bath,105755966,,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.87071,-76.98195,Private room,69,2,40,4/19/2021,1.27,2,80
28434873,The Sunflower Room (Female Only),200421571,Rebecca,,"Shaw, Logan Circle",38.91048,-77.03237,Private room,51,2,34,8/30/2020,1.09,2,179
28435119,Spacious Palisades Home - backs onto parkland,17633,Charlotte,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92091,-77.10004,Entire home/apt,500,21,0,,,30,183
28440966,☆ Everything you need close to Capitol Hill ☆,214707451,Grace,,"Union Station, Stanton Park, Kingman Park",38.89431,-76.98873,Entire home/apt,119,2,55,8/21/2019,1.73,1,179
28458316,Master Bedroom in historic DC minutes from Capitol,43961276,Max,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92261,-77.00283,Private room,50,1,2,10/5/2018,0.06,1,0
28458923,Large private bedroom in Shaw,44179123,Cody,,"Shaw, Logan Circle",38.90628,-77.01564,Private room,50,1,34,12/28/2018,1.08,2,0
28480971,Washington Guest Suite,169664944,Carolyn,,"Brookland, Brentwood, Langdon",38.92157,-76.97284,Private room,29,2,12,3/15/2020,0.4,3,0
28481426,Milton's Place,179956839,Milton,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93666,-77.03241,Private room,52,1,46,3/27/2021,1.58,2,339
28484136,Beautiful in Bloomingdale with Parking,58494674,Desi,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91736,-77.01248,Entire home/apt,250,3,7,10/25/2020,0.26,1,57
28493426,Very Nice Modern 2 Bedroom Apt with Outdoor Patio,113851583,Quentinn,,"Capitol View, Marshall Heights, Benning Heights",38.88454,-76.92899,Entire home/apt,95,2,59,2/28/2021,1.94,1,354
28494518,Clean and fresh Basement apt. w/deck,105711806,Jodi & Abraham,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.8987,-76.9715,Entire home/apt,80,2,96,4/4/2021,3.2,5,361
28500848,Private Bedroom#3 @123 in  Trendy Bloomingdale,102274654,Rae,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91313,-77.01231,Private room,35,1,84,3/30/2021,2.77,6,71
28520428,Spacious DC Rental,91476160,Catherine,,"Capitol View, Marshall Heights, Benning Heights",38.88513,-76.92278,Entire home/apt,213,1,0,,,1,61
28522288,Private Bed+Bath near Convention Center,38658582,Becky,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91637,-77.00238,Private room,46,2,109,3/13/2020,3.5,2,0
28523443,Comfortable Studio - Near To Dupont Circle!,148315026,Sezgin,,"Dupont Circle, Connecticut Avenue/K Street",38.91189,-77.04806,Entire home/apt,56,5,0,,,1,0
28531929,"Quaint U Street 1BR w/ Gym, walk to metro by Blueground",107434423,Blueground,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91734,-77.0306,Entire home/apt,139,30,2,9/7/2020,0.07,130,303
28540613,BUDGET BUNK- MIXED - Bottom Bunk #2,177578477,,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90492,-76.98508,Shared room,40,5,7,10/15/2019,0.23,8,180
28542704,"𓃡Pets𓃠Welcome★DupontCircle★48""RokuTV★WalkScore97",487806,Stay BnB DC,,"Dupont Circle, Connecticut Avenue/K Street",38.91356,-77.03993,Entire home/apt,164,30,124,2/21/2021,4.26,31,1
28542736,BUDGET BUNK-MIXED - Bottom Bunk #4,177578477,,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90644,-76.98705,Shared room,40,5,8,9/13/2019,0.29,8,180
28542874,"𓃡Pets𓃠Welcome★DupontCircle★48""RokuTV★WalkScore98",487806,Stay BnB DC,,"Dupont Circle, Connecticut Avenue/K Street",38.91425,-77.0397,Entire home/apt,141,30,147,2/3/2021,4.71,31,0
28544566,Washington DC Heartbeat Artist Suite,78198160,Elaine,,Historic Anacostia,38.86334,-76.97615,Private room,49,1,5,6/24/2019,0.18,1,89
28544907,💎Chíc En Suite💎 PERFECT for Long Stays,159982035,K.A.,,"Congress Heights, Bellevue, Washington Highlands",38.82689,-77.00995,Private room,63,4,7,4/1/2020,0.26,2,18
28563385,Private studio Dupont Circle only 1 block to metro,16913670,Mason,,"Dupont Circle, Connecticut Avenue/K Street",38.91097,-77.04358,Entire home/apt,80,13,5,1/17/2021,0.21,1,220
28564940,Modern/Clean Apt - Glover Park/Georgetown,7739180,Kevin,,"Cathedral Heights, McLean Gardens, Glover Park",38.91747,-77.07319,Entire home/apt,100,3,104,3/29/2021,3.64,1,38
28581396,Cozy and quiet 2bedrooms town house in Georgetown,215712028,Linjing,,"Georgetown, Burleith/Hillandale",38.91137,-77.06857,Entire home/apt,165,1,7,11/25/2018,0.22,3,0
28584255,Cozy townhouse in Georgetown (Room A),215712028,Linjing,,"Georgetown, Burleith/Hillandale",38.91357,-77.06791,Private room,85,1,16,11/15/2018,0.51,3,0
28584343,Cozy townhouse in Georgetown (Room B),215712028,Linjing,,"Georgetown, Burleith/Hillandale",38.91153,-77.07007,Private room,75,1,13,11/12/2018,0.42,3,0
28587282,Comfortable English Basement Unit Close to Metro,204629993,Laura,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93147,-77.03558,Entire home/apt,160,2,62,2/29/2020,2.06,1,0
28606289,Luxury Suite in the Heart of Capitol Hill,147252541,Brian,,"Capitol Hill, Lincoln Park",38.8913,-76.99474,Entire home/apt,301,3,67,4/8/2021,2.44,2,272
28646312,The Castle At Foggy Bottom,104464656,Anand And Lisa,,"Dupont Circle, Connecticut Avenue/K Street",38.90318,-77.04887,Entire home/apt,825,2,41,4/11/2021,1.55,2,334
28667376,Modern Luxury Apartment w/ Minimalist Decor,216295610,Andrew,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90413,-77.0174,Private room,85,1,12,9/27/2019,0.39,1,0
28668627,1 Bedroom Condo in Dupont Circle,48005494,Zeus,,"Dupont Circle, Connecticut Avenue/K Street",38.9152,-77.0431,Entire home/apt,145,30,0,,,203,365
